ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
74070,70.48,,48.644298660468465,,,,50.9597790273546,
74071,,,,,71.76221079459586,,76.488,
74072,,,74.354,,,,,
74077,,72.18,,,,,,
74086,,,,,71.604,,,
74091,,,56.464423129058446,79.75,,,,
74093,,,,,,,74.162,59.493378159866936
74094,64.4393166838513,,,,,,54.428645067481746,74.37
74097,,,,,,49.019453420977555,64.58319418510504,73.956
74102,,,,,,,68.67144196464113,75.19
74117,,,63.263328629893884,72.35,,,,
74133,,78.1,,,,,,
74136,,,,,73.67,,,
74140,,74.48,,53.650400062535994,,,,
74142,,,,,74.36,,,
74150,,,72.024,50.79688531660763,,,,
74163,,,73.564,63.35030747585038,,,,
74175,,,,,73.786,,,
74178,,73.97,,55.254471484980996,,,,
74207,,,,,78.8,,,
74209,,,,,,,67.10373188856985,77.582
74210,,,73.372,68.65997091848486,,,,
74229,,,70.02199999999999,,,,,
74232,,,74.714,53.506821340773385,,,,
74233,,,,,,,77.85,61.01488300892501
74240,,,,,71.556,,53.58876700813211,
74295,,79.12,,,,,,
74304,,,,,71.978,,,
74310,,,,,75.31,,,
