ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
256902,Victor Lobry,Central Midfielder,Amiens SC,Ligue 2 BKT,France,66,Left,['CAM'],30,"181cm / 5'11""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,24.25592552201321,66.5,55.7639813805033
246816,Eddy Sylvestre,Central Midfielder,USL Dunkerque,Ligue 2 BKT,France,65,Left,"['RM', 'CAM']",26,"173cm / 5'8""",69kg / 152lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,29.5991089948547,64.0,55.74977724871368
213134,Levin Öztunalı,Right Winger,Hamburger SV,Bundesliga,Germany,67,Right,"['CM', 'RM']",30,"184cm / 6'0""",81kg / 179lb,Winger,Attacking Midfielder,Flexible Position 2,23.266059256082592,66.2,55.74651481402066
246168,Bledian Krasniqi,Central Midfielder,FC Zürich,Brack Super League,Kosovo,68,Right,"['CAM', 'CDM']",24,"173cm / 5'8""",68kg / 150lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,20.25932652786713,67.2,55.74483163196678
262430,Kiko Bondoso,Left Midfielder,Moreirense FC,Liga Portugal,Portugal,71,Right,"['LW', 'RM']",30,"171cm / 5'7""",66kg / 146lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,11.78014533621205,69.85,55.73503633405301
74406,Tommaso Berti,Central Midfielder,Cesena,Serie BKT,Italy,66,Right,['CAM'],22,"171cm / 5'7""",70kg / 154lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,22.65041048599054,67.4,55.722602621497636
279831,Tomás Porra,Left Midfielder,Barracas Central,LPF,Argentina,65,Left,"['RM', 'CM', 'LB']",22,"173cm / 5'8""",72kg / 159lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,33.79559002621989,61.300000000000004,55.718897506554974
277975,Parfait Guiagon,Left Midfielder,Sp. Charleroi,1A Pro League,Côte d'Ivoire,72,Right,"['RM', 'LW']",25,"169cm / 5'7""",65kg / 143lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,10.92823774301651,69.45,55.71205943575413
264228,Naim García,Right Midfielder,CD Leganés,LALIGA HYPERMOTION,Spain,67,Left,"['LM', 'RW']",23,"178cm / 5'10""",77kg / 170lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,27.028417098119426,63.75,55.70710427452986
177569,Jonathan de Guzmán,Central Midfielder,Sparta Rotterdam,Eredivisie,Holland,66,Right,['CDM'],38,"173cm / 5'8""",70kg / 154lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,18.33377835994122,70.05,55.7034445899853
73307,Bruninho,Left Winger,Cercle Brugge,1A Pro League,Brazil,67,Right,"['RW', 'CAM', 'LM']",23,"174cm / 5'9""",65kg / 143lb,Winger,Attacking Midfielder,Flexible Position 2,24.84139743530411,65.1,55.700349358826024
224590,Jessy Benet,Central Midfielder,Grenoble Foot 38,Ligue 2 BKT,France,71,Left,"['CDM', 'CAM']",30,"186cm / 6'1""",75kg / 165lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,11.55319168191283,69.9,55.69829792047821
260925,Lukas Petkov,Right Midfielder,SV Elversberg,Bundesliga 2,Bulgaria,70,Right,"['CAM', 'RW']",25,"183cm / 6'0""",76kg / 168lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,18.65193084992283,66.3,55.6829827124807
275415,Jorge Pascual,Striker,Granada CF,LALIGA HYPERMOTION,Spain,68,Left,['CAM'],22,"187cm / 6'2""",77kg / 170lb,Striker,Attacking Midfielder,Flexible Position 1,24.08436258222853,64.65,55.68109064555713
